# gemmi 0.7.5: number	hm	xhm	short	hall	operators
72	I c m a	I c m a	Icma	-I 2b 2b	x,y,z;-x,-y+1/2,z;x,-y+1/2,-z;-x,y,-z;-x,-y,-z;x,y+1/2,-z;-x,y+1/2,z;x,-y,z;x+1/2,y+1/2,z+1/2;-x+1/2,-y,z+1/2;x+1/2,-y,-z+1/2;-x+1/2,y+1/2,-z+1/2;-x+1/2,-y+1/2,-z+1/2;x+1/2,y,-z+1/2;-x+1/2,y,z+1/2;x+1/2,-y+1/2,z+1/2
73	I b c a	I b c a	Ibca	-I 2b 2c	x,y,z;-x,-y+1/2,z;x,-y,-z+1/2;-x,y+1/2,-z+1/2;-x,-y,-z;x,y+1/2,-z;-x,y,z+1/2;x,-y+1/2,z+1/2;x+1/2,y+1/2,z+1/2;-x+1/2,-y,z+1/2;x+1/2,-y+1/2,-z;-x+1/2,y,-z;-x+1/2,-y+1/2,-z+1/2;x+1/2,y,-z+1/2;-x+1/2,y+1/2,z;x+1/2,-y,z
73	I c a b	I c a b	Icab	-I 2a 2b	x,y,z;-x+1/2,-y,z;x,-y+1/2,-z;-x+1/2,y+1/2,-z;-x,-y,-z;x+1/2,y,-z;-x,y+1/2,z;x+1/2,-y+1/2,z;x+1/2,y+1/2,z+1/2;-x,-y+1/2,z+1/2;x+1/2,-y,-z+1/2;-x,y,-z+1/2;-x+1/2,-y+1/2,-z+1/2;x,y+1/2,-z+1/2;-x+1/2,y,z+1/2;x,-y,z+1/2
74	I m m a	I m m a	Imma	-I 2b 2	x,y,z;-x,-y+1/2,z;x,-y,-z;-x,y+1/2,-z;-x,-y,-z;x,y+1/2,-z;-x,y,z;x,-y+1/2,z;x+1/2,y+1/2,z+1/2;-x+1/2,-y,z+1/2;x+1/2,-y+1/2,-z+1/2;-x+1/2,y,-z+1/2;-x+1/2,-y+1/2,-z+1/2;x+1/2,y,-z+1/2;-x+1/2,y+1/2,z+1/2;x+1/2,-y,z+1/2
74	I m m b	I m m b	Immb	-I 2a 2a	x,y,z;-x+1/2,-y,z;x+1/2,-y,-z;-x,y,-z;-x,-y,-z;x+1/2,y,-z;-x+1/2,y,z;x,-y,z;x+1/2,y+1/2,z+1/2;-x,-y+1/2,z+1/2;x,-y+1/2,-z+1/2;-x+1/2,y+1/2,-z+1/2;-x+1/2,-y+1/2,-z+1/2;x,y+1/2,-z+1/2;-x,y+1/2,z+1/2;x+1/2,-y+1/2,z+1/2
74	I b m m	I b m m	Ibmm	-I 2c 2c	x,y,z;-x,-y,z+1/2;x,-y,-z+1/2;-x,y,-z;-x,-y,-z;x,y,-z+1/2;-x,y,z+1/2;x,-y,z;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z;x+1/2,-y+1/2,-z;-x+1/2,y+1/2,-z+1/2;-x+1/2,-y+1/2,-z+1/2;x+1/2,y+1/2,-z;-x+1/2,y+1/2,z;x+1/2,-y+1/2,z+1/2
74	I c m m	I c m m	Icmm	-I 2 2b	x,y,z;-x,-y,z;x,-y+1/2,-z;-x,y+1/2,-z;-x,-y,-z;x,y,-z;-x,y+1/2,z;x,-y+1/2,z;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;x+1/2,-y,-z+1/2;-x+1/2,y,-z+1/2;-x+1/2,-y+1/2,-z+1/2;x+1/2,y+1/2,-z+1/2;-x+1/2,y,z+1/2;x+1/2,-y,z+1/2
74	I m c m	I m c m	Imcm	-I 2 2a	x,y,z;-x,-y,z;x+1/2,-y,-z;-x+1/2,y,-z;-x,-y,-z;x,y,-z;-x+1/2,y,z;x+1/2,-y,z;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;x,-y+1/2,-z+1/2;-x,y+1/2,-z+1/2;-x+1/2,-y+1/2,-z+1/2;x+1/2,y+1/2,-z+1/2;-x,y+1/2,z+1/2;x,-y+1/2,z+1/2
74	I m a m	I m a m	Imam	-I 2c 2	x,y,z;-x,-y,z+1/2;x,-y,-z;-x,y,-z+1/2;-x,-y,-z;x,y,-z+1/2;-x,y,z;x,-y,z+1/2;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z;x+1/2,-y+1/2,-z+1/2;-x+1/2,y+1/2,-z;-x+1/2,-y+1/2,-z+1/2;x+1/2,y+1/2,-z;-x+1/2,y+1/2,z+1/2;x+1/2,-y+1/2,z
75	P 4	P 4	P4	P 4	x,y,z;-y,x,z;-x,-y,z;y,-x,z
76	P 41	P 41	P41	P 4w	x,y,z;-y,x,z+1/4;-x,-y,z+1/2;y,-x,z+3/4
77	P 42	P 42	P42	P 4c	x,y,z;-y,x,z+1/2;-x,-y,z;y,-x,z+1/2
78	P 43	P 43	P43	P 4cw	x,y,z;-y,x,z+3/4;-x,-y,z+1/2;y,-x,z+1/4
79	I 4	I 4	I4	I 4	x,y,z;-y,x,z;-x,-y,z;y,-x,z;x+1/2,y+1/2,z+1/2;-y+1/2,x+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;y+1/2,-x+1/2,z+1/2
80	I 41	I 41	I41	I 4bw	x,y,z;-y,x+1/2,z+1/4;-x+1/2,-y+1/2,z+1/2;y+1/2,-x,z+3/4;x+1/2,y+1/2,z+1/2;-y+1/2,x,z+3/4;-x,-y,z;y,-x+1/2,z+1/4
81	P -4	P -4	P-4	P -4	x,y,z;y,-x,-z;-x,-y,z;-y,x,-z
82	I -4	I -4	I-4	I -4	x,y,z;y,-x,-z;-x,-y,z;-y,x,-z;x+1/2,y+1/2,z+1/2;y+1/2,-x+1/2,-z+1/2;-x+1/2,-y+1/2,z+1/2;-y+1/2,x+1/2,-z+1/2
83	P 4/m	P 4/m	P4/m	-P 4	x,y,z;-y,x,z;-x,-y,z;y,-x,z;-x,-y,-z;y,-x,-z;x,y,-z;-y,x,-z
84	P 42/m	P 42/m	P42/m	-P 4c	x,y,z;-y,x,z+1/2;-x,-y,z;y,-x,z+1/2;-x,-y,-z;y,-x,-z+1/2;x,y,-z;-y,x,-z+1/2
85	P 4/n	P 4/n:1	P4/n	P 4ab -1ab	x,y,z;-y+1/2,x+1/2,z;-x,-y,z;y+1/2,-x+1/2,z;-x+1/2,-y+1/2,-z;y,-x,-z;x+1/2,y+1/2,-z;-y,x,-z
85	P 4/n	P 4/n:2	P4/n	-P 4a	x,y,z;-y+1/2,x,z;-x+1/2,-y+1/2,z;y,-x+1/2,z;-x,-y,-z;y+1/2,-x,-z;x+1/2,y+1/2,-z;-y,x+1/2,-z
86	P 42/n	P 42/n:1	P42/n	P 4n -1n	x,y,z;-y+1/2,x+1/2,z+1/2;-x,-y,z;y+1/2,-x+1/2,z+1/2;-x+1/2,-y+1/2,-z+1/2;y,-x,-z;x+1/2,y+1/2,-z+1/2;-y,x,-z
86	P 42/n	P 42/n:2	P42/n	-P 4bc	x,y,z;-y,x+1/2,z+1/2;-x+1/2,-y+1/2,z;y+1/2,-x,z+1/2;-x,-y,-z;y,-x+1/2,-z+1/2;x+1/2,y+1/2,-z;-y+1/2,x,-z+1/2
87	I 4/m	I 4/m	I4/m	-I 4	x,y,z;-y,x,z;-x,-y,z;y,-x,z;-x,-y,-z;y,-x,-z;x,y,-z;-y,x,-z;x+1/2,y+1/2,z+1/2;-y+1/2,x+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;y+1/2,-x+1/2,z+1/2;-x+1/2,-y+1/2,-z+1/2;y+1/2,-x+1/2,-z+1/2;x+1/2,y+1/2,-z+1/2;-y+1/2,x+1/2,-z+1/2
88	I 41/a	I 41/a:1	I41/a	I 4bw -1bw	x,y,z;-y,x+1/2,z+1/4;-x+1/2,-y+1/2,z+1/2;y+1/2,-x,z+3/4;-x,-y+1/2,-z+1/4;y,-x,-z;x+1/2,y,-z+3/4;-y+1/2,x+1/2,-z+1/2;x+1/2,y+1/2,z+1/2;-y+1/2,x,z+3/4;-x,-y,z;y,-x+1/2,z+1/4;-x+1/2,-y,-z+3/4;y+1/2,-x+1/2,-z+1/2;x,y+1/2,-z+1/4;-y,x,-z
88	I 41/a	I 41/a:2	I41/a	-I 4ad	x,y,z;-y+3/4,x+1/4,z+1/4;-x+1/2,-y,z+1/2;y+3/4,-x+3/4,z+3/4;-x,-y,-z;y+1/4,-x+3/4,-z+3/4;x+1/2,y,-z+1/2;-y+1/4,x+1/4,-z+1/4;x+1/2,y+1/2,z+1/2;-y+1/4,x+3/4,z+3/4;-x,-y+1/2,z;y+1/4,-x+1/4,z+1/4;-x+1/2,-y+1/2,-z+1/2;y+3/4,-x+1/4,-z+1/4;x,y+1/2,-z;-y+3/4,x+3/4,-z+3/4
89	P 4 2 2	P 4 2 2	P422	P 4 2	x,y,z;-y,x,z;-x,-y,z;y,-x,z;x,-y,-z;-y,-x,-z;-x,y,-z;y,x,-z
90	P 4 21 2	P 4 21 2	P4212	P 4ab 2ab	x,y,z;-y+1/2,x+1/2,z;-x,-y,z;y+1/2,-x+1/2,z;x+1/2,-y+1/2,-z;-y,-x,-z;-x+1/2,y+1/2,-z;y,x,-z
91	P 41 2 2	P 41 2 2	P4122	P 4w 2c	x,y,z;-y,x,z+1/4;-x,-y,z+1/2;y,-x,z+3/4;x,-y,-z+1/2;-y,-x,-z+1/4;-x,y,-z;y,x,-z+3/4
92	P 41 21 2	P 41 21 2	P41212	P 4abw 2nw	x,y,z;-y+1/2,x+1/2,z+1/4;-x,-y,z+1/2;y+1/2,-x+1/2,z+3/4;x+1/2,-y+1/2,-z+3/4;-y,-x,-z+1/2;-x+1/2,y+1/2,-z+1/4;y,x,-z
93	P 42 2 2	P 42 2 2	P4222	P 4c 2	x,y,z;-y,x,z+1/2;-x,-y,z;y,-x,z+1/2;x,-y,-z;-y,-x,-z+1/2;-x,y,-z;y,x,-z+1/2
94	P 42 21 2	P 42 21 2	P42212	P 4n 2n	x,y,z;-y+1/2,x+1/2,z+1/2;-x,-y,z;y+1/2,-x+1/2,z+1/2;x+1/2,-y+1/2,-z+1/2;-y,-x,-z;-x+1/2,y+1/2,-z+1/2;y,x,-z
95	P 43 2 2	P 43 2 2	P4322	P 4cw 2c	x,y,z;-y,x,z+3/4;-x,-y,z+1/2;y,-x,z+1/4;x,-y,-z+1/2;-y,-x,-z+3/4;-x,y,-z;y,x,-z+1/4
96	P 43 21 2	P 43 21 2	P43212	P 4nw 2abw	x,y,z;-y+1/2,x+1/2,z+3/4;-x,-y,z+1/2;y+1/2,-x+1/2,z+1/4;x+1/2,-y+1/2,-z+1/4;-y,-x,-z+1/2;-x+1/2,y+1/2,-z+3/4;y,x,-z
97	I 4 2 2	I 4 2 2	I422	I 4 2	x,y,z;-y,x,z;-x,-y,z;y,-x,z;x,-y,-z;-y,-x,-z;-x,y,-z;y,x,-z;x+1/2,y+1/2,z+1/2;-y+1/2,x+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;y+1/2,-x+1/2,z+1/2;x+1/2,-y+1/2,-z+1/2;-y+1/2,-x+1/2,-z+1/2;-x+1/2,y+1/2,-z+1/2;y+1/2,x+1/2,-z+1/2
98	I 41 2 2	I 41 2 2	I4122	I 4bw 2bw	x,y,z;-y,x+1/2,z+1/4;-x+1/2,-y+1/2,z+1/2;y+1/2,-x,z+3/4;x,-y+1/2,-z+1/4;-y,-x,-z;-x+1/2,y,-z+3/4;y+1/2,x+1/2,-z+1/2;x+1/2,y+1/2,z+1/2;-y+1/2,x,z+3/4;-x,-y,z;y,-x+1/2,z+1/4;x+1/2,-y,-z+3/4;-y+1/2,-x+1/2,-z+1/2;-x,y+1/2,-z+1/4;y,x,-z
99	P 4 m m	P 4 m m	P4mm	P 4 -2	x,y,z;-y,x,z;-x,-y,z;y,-x,z;-x,y,z;y,x,z;x,-y,z;-y,-x,z
100	P 4 b m	P 4 b m	P4bm	P 4 -2ab	x,y,z;-y,x,z;-x,-y,z;y,-x,z;-x+1/2,y+1/2,z;y+1/2,x+1/2,z;x+1/2,-y+1/2,z;-y+1/2,-x+1/2,z
101	P 42 c m	P 42 c m	P42cm	P 4c -2c	x,y,z;-y,x,z+1/2;-x,-y,z;y,-x,z+1/2;-x,y,z+1/2;y,x,z;x,-y,z+1/2;-y,-x,z
102	P 42 n m	P 42 n m	P42nm	P 4n -2n	x,y,z;-y+1/2,x+1/2,z+1/2;-x,-y,z;y+1/2,-x+1/2,z+1/2;-x+1/2,y+1/2,z+1/2;y,x,z;x+1/2,-y+1/2,z+1/2;-y,-x,z
103	P 4 c c	P 4 c c	P4cc	P 4 -2c	x,y,z;-y,x,z;-x,-y,z;y,-x,z;-x,y,z+1/2;y,x,z+1/2;x,-y,z+1/2;-y,-x,z+1/2
104	P 4 n c	P 4 n c	P4nc	P 4 -2n	x,y,z;-y,x,z;-x,-y,z;y,-x,z;-x+1/2,y+1/2,z+1/2;y+1/2,x+1/2,z+1/2;x+1/2,-y+1/2,z+1/2;-y+1/2,-x+1/2,z+1/2
105	P 42 m c	P 42 m c	P42mc	P 4c -2	x,y,z;-y,x,z+1/2;-x,-y,z;y,-x,z+1/2;-x,y,z;y,x,z+1/2;x,-y,z;-y,-x,z+1/2
106	P 42 b c	P 42 b c	P42bc	P 4c -2ab	x,y,z;-y,x,z+1/2;-x,-y,z;y,-x,z+1/2;-x+1/2,y+1/2,z;y+1/2,x+1/2,z+1/2;x+1/2,-y+1/2,z;-y+1/2,-x+1/2,z+1/2
107	I 4 m m	I 4 m m	I4mm	I 4 -2	x,y,z;-y,x,z;-x,-y,z;y,-x,z;-x,y,z;y,x,z;x,-y,z;-y,-x,z;x+1/2,y+1/2,z+1/2;-y+1/2,x+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;y+1/2,-x+1/2,z+1/2;-x+1/2,y+1/2,z+1/2;y+1/2,x+1/2,z+1/2;x+1/2,-y+1/2,z+1/2;-y+1/2,-x+1/2,z+1/2
108	I 4 c m	I 4 c m	I4cm	I 4 -2c	x,y,z;-y,x,z;-x,-y,z;y,-x,z;-x,y,z+1/2;y,x,z+1/2;x,-y,z+1/2;-y,-x,z+1/2;x+1/2,y+1/2,z+1/2;-y+1/2,x+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;y+1/2,-x+1/2,z+1/2;-x+1/2,y+1/2,z;y+1/2,x+1/2,z;x+1/2,-y+1/2,z;-y+1/2,-x+1/2,z
109	I 41 m d	I 41 m d	I41md	I 4bw -2	x,y,z;-y,x+1/2,z+1/4;-x+1/2,-y+1/2,z+1/2;y+1/2,-x,z+3/4;-x,y,z;y,x+1/2,z+1/4;x+1/2,-y+1/2,z+1/2;-y+1/2,-x,z+3/4;x+1/2,y+1/2,z+1/2;-y+1/2,x,z+3/4;-x,-y,z;y,-x+1/2,z+1/4;-x+1/2,y+1/2,z+1/2;y+1/2,x,z+3/4;x,-y,z;-y,-x+1/2,z+1/4
110	I 41 c d	I 41 c d	I41cd	I 4bw -2c	x,y,z;-y,x+1/2,z+1/4;-x+1/2,-y+1/2,z+1/2;y+1/2,-x,z+3/4;-x,y,z+1/2;y,x+1/2,z+3/4;x+1/2,-y+1/2,z;-y+1/2,-x,z+1/4;x+1/2,y+1/2,z+1/2;-y+1/2,x,z+3/4;-x,-y,z;y,-x+1/2,z+1/4;-x+1/2,y+1/2,z;y+1/2,x,z+1/4;x,-y,z+1/2;-y,-x+1/2,z+3/4
111	P -4 2 m	P -4 2 m	P-42m	P -4 2	x,y,z;y,-x,-z;-x,-y,z;-y,x,-z;x,-y,-z;y,x,z;-x,y,-z;-y,-x,z
112	P -4 2 c	P -4 2 c	P-42c	P -4 2c	x,y,z;y,-x,-z;-x,-y,z;-y,x,-z;x,-y,-z+1/2;y,x,z+1/2;-x,y,-z+1/2;-y,-x,z+1/2
113	P -4 21 m	P -4 21 m	P-421m	P -4 2ab	x,y,z;y,-x,-z;-x,-y,z;-y,x,-z;x+1/2,-y+1/2,-z;y+1/2,x+1/2,z;-x+1/2,y+1/2,-z;-y+1/2,-x+1/2,z
114	P -4 21 c	P -4 21 c	P-421c	P -4 2n	x,y,z;y,-x,-z;-x,-y,z;-y,x,-z;x+1/2,-y+1/2,-z+1/2;y+1/2,x+1/2,z+1/2;-x+1/2,y+1/2,-z+1/2;-y+1/2,-x+1/2,z+1/2
115	P -4 m 2	P -4 m 2	P-4m2	P -4 -2	x,y,z;y,-x,-z;-x,-y,z;-y,x,-z;-x,y,z;-y,-x,-z;x,-y,z;y,x,-z
116	P -4 c 2	P -4 c 2	P-4c2	P -4 -2c	x,y,z;y,-x,-z;-x,-y,z;-y,x,-z;-x,y,z+1/2;-y,-x,-z+1/2;x,-y,z+1/2;y,x,-z+1/2
117	P -4 b 2	P -4 b 2	P-4b2	P -4 -2ab	x,y,z;y,-x,-z;-x,-y,z;-y,x,-z;-x+1/2,y+1/2,z;-y+1/2,-x+1/2,-z;x+1/2,-y+1/2,z;y+1/2,x+1/2,-z
118	P -4 n 2	P -4 n 2	P-4n2	P -4 -2n	x,y,z;y,-x,-z;-x,-y,z;-y,x,-z;-x+1/2,y+1/2,z+1/2;-y+1/2,-x+1/2,-z+1/2;x+1/2,-y+1/2,z+1/2;y+1/2,x+1/2,-z+1/2
119	I -4 m 2	I -4 m 2	I-4m2	I -4 -2	x,y,z;y,-x,-z;-x,-y,z;-y,x,-z;-x,y,z;-y,-x,-z;x,-y,z;y,x,-z;x+1/2,y+1/2,z+1/2;y+1/2,-x+1/2,-z+1/2;-x+1/2,-y+1/2,z+1/2;-y+1/2,x+1/2,-z+1/2;-x+1/2,y+1/2,z+1/2;-y+1/2,-x+1/2,-z+1/2;x+1/2,-y+1/2,z+1/2;y+1/2,x+1/2,-z+1/2
120	I -4 c 2	I -4 c 2	I-4c2	I -4 -2c	x,y,z;y,-x,-z;-x,-y,z;-y,x,-z;-x,y,z+1/2;-y,-x,-z+1/2;x,-y,z+1/2;y,x,-z+1/2;x+1/2,y+1/2,z+1/2;y+1/2,-x+1/2,-z+1/2;-x+1/2,-y+1/2,z+1/2;-y+1/2,x+1/2,-z+1/2;-x+1/2,y+1/2,z;-y+1/2,-x+1/2,-z;x+1/2,-y+1/2,z;y+1/2,x+1/2,-z
121	I -4 2 m	I -4 2 m	I-42m	I -4 2	x,y,z;y,-x,-z;-x,-y,z;-y,x,-z;x,-y,-z;y,x,z;-x,y,-z;-y,-x,z;x+1/2,y+1/2,z+1/2;y+1/2,-x+1/2,-z+1/2;-x+1/2,-y+1/2,z+1/2;-y+1/2,x+1/2,-z+1/2;x+1/2,-y+1/2,-z+1/2;y+1/2,x+1/2,z+1/2;-x+1/2,y+1/2,-z+1/2;-y+1/2,-x+1/2,z+1/2
122	I -4 2 d	I -4 2 d	I-42d	I -4 2bw	x,y,z;y,-x,-z;-x,-y,z;-y,x,-z;x,-y+1/2,-z+1/4;y,x+1/2,z+1/4;-x,y+1/2,-z+1/4;-y,-x+1/2,z+1/4;x+1/2,y+1/2,z+1/2;y+1/2,-x+1/2,-z+1/2;-x+1/2,-y+1/2,z+1/2;-y+1/2,x+1/2,-z+1/2;x+1/2,-y,-z+3/4;y+1/2,x,z+3/4;-x+1/2,y,-z+3/4;-y+1/2,-x,z+3/4
123	P 4/m m m	P 4/m m m	P4/mmm	-P 4 2	x,y,z;-y,x,z;-x,-y,z;y,-x,z;x,-y,-z;-y,-x,-z;-x,y,-z;y,x,-z;-x,-y,-z;y,-x,-z;x,y,-z;-y,x,-z;-x,y,z;y,x,z;x,-y,z;-y,-x,z
124	P 4/m c c	P 4/m c c	P4/mcc	-P 4 2c	x,y,z;-y,x,z;-x,-y,z;y,-x,z;x,-y,-z+1/2;-y,-x,-z+1/2;-x,y,-z+1/2;y,x,-z+1/2;-x,-y,-z;y,-x,-z;x,y,-z;-y,x,-z;-x,y,z+1/2;y,x,z+1/2;x,-y,z+1/2;-y,-x,z+1/2
125	P 4/n b m	P 4/n b m:1	P4/nbm	P 4 2 -1ab	x,y,z;-y,x,z;-x,-y,z;y,-x,z;x,-y,-z;-y,-x,-z;-x,y,-z;y,x,-z;-x+1/2,-y+1/2,-z;y+1/2,-x+1/2,-z;x+1/2,y+1/2,-z;-y+1/2,x+1/2,-z;-x+1/2,y+1/2,z;y+1/2,x+1/2,z;x+1/2,-y+1/2,z;-y+1/2,-x+1/2,z
125	P 4/n b m	P 4/n b m:2	P4/nbm	-P 4a 2b	x,y,z;-y+1/2,x,z;-x+1/2,-y+1/2,z;y,-x+1/2,z;x,-y+1/2,-z;-y+1/2,-x+1/2,-z;-x+1/2,y,-z;y,x,-z;-x,-y,-z;y+1/2,-x,-z;x+1/2,y+1/2,-z;-y,x+1/2,-z;-x,y+1/2,z;y+1/2,x+1/2,z;x+1/2,-y,z;-y,-x,z
126	P 4/n n c	P 4/n n c:1	P4/nnc	P 4 2 -1n	x,y,z;-y,x,z;-x,-y,z;y,-x,z;x,-y,-z;-y,-x,-z;-x,y,-z;y,x,-z;-x+1/2,-y+1/2,-z+1/2;y+1/2,-x+1/2,-z+1/2;x+1/2,y+1/2,-z+1/2;-y+1/2,x+1/2,-z+1/2;-x+1/2,y+1/2,z+1/2;y+1/2,x+1/2,z+1/2;x+1/2,-y+1/2,z+1/2;-y+1/2,-x+1/2,z+1/2
126	P 4/n n c	P 4/n n c:2	P4/nnc	-P 4a 2bc	x,y,z;-y+1/2,x,z;-x+1/2,-y+1/2,z;y,-x+1/2,z;x,-y+1/2,-z+1/2;-y+1/2,-x+1/2,-z+1/2;-x+1/2,y,-z+1/2;y,x,-z+1/2;-x,-y,-z;y+1/2,-x,-z;x+1/2,y+1/2,-z;-y,x+1/2,-z;-x,y+1/2,z+1/2;y+1/2,x+1/2,z+1/2;x+1/2,-y,z+1/2;-y,-x,z+1/2
127	P 4/m b m	P 4/m b m	P4/mbm	-P 4 2ab	x,y,z;-y,x,z;-x,-y,z;y,-x,z;x+1/2,-y+1/2,-z;-y+1/2,-x+1/2,-z;-x+1/2,y+1/2,-z;y+1/2,x+1/2,-z;-x,-y,-z;y,-x,-z;x,y,-z;-y,x,-z;-x+1/2,y+1/2,z;y+1/2,x+1/2,z;x+1/2,-y+1/2,z;-y+1/2,-x+1/2,z
128	P 4/m n c	P 4/m n c	P4/mnc	-P 4 2n	x,y,z;-y,x,z;-x,-y,z;y,-x,z;x+1/2,-y+1/2,-z+1/2;-y+1/2,-x+1/2,-z+1/2;-x+1/2,y+1/2,-z+1/2;y+1/2,x+1/2,-z+1/2;-x,-y,-z;y,-x,-z;x,y,-z;-y,x,-z;-x+1/2,y+1/2,z+1/2;y+1/2,x+1/2,z+1/2;x+1/2,-y+1/2,z+1/2;-y+1/2,-x+1/2,z+1/2
129	P 4/n m m	P 4/n m m:1	P4/nmm	P 4ab 2ab -1ab	x,y,z;-y+1/2,x+1/2,z;-x,-y,z;y+1/2,-x+1/2,z;x+1/2,-y+1/2,-z;-y,-x,-z;-x+1/2,y+1/2,-z;y,x,-z;-x+1/2,-y+1/2,-z;y,-x,-z;x+1/2,y+1/2,-z;-y,x,-z;-x,y,z;y+1/2,x+1/2,z;x,-y,z;-y+1/2,-x+1/2,z
129	P 4/n m m	P 4/n m m:2	P4/nmm	-P 4a 2a	x,y,z;-y+1/2,x,z;-x+1/2,-y+1/2,z;y,-x+1/2,z;x+1/2,-y,-z;-y,-x,-z;-x,y+1/2,-z;y+1/2,x+1/2,-z;-x,-y,-z;y+1/2,-x,-z;x+1/2,y+1/2,-z;-y,x+1/2,-z;-x+1/2,y,z;y,x,z;x,-y+1/2,z;-y+1/2,-x+1/2,z
130	P 4/n c c	P 4/n c c:1	P4/ncc	P 4ab 2n -1ab	x,y,z;-y+1/2,x+1/2,z;-x,-y,z;y+1/2,-x+1/2,z;x+1/2,-y+1/2,-z+1/2;-y,-x,-z+1/2;-x+1/2,y+1/2,-z+1/2;y,x,-z+1/2;-x+1/2,-y+1/2,-z;y,-x,-z;x+1/2,y+1/2,-z;-y,x,-z;-x,y,z+1/2;y+1/2,x+1/2,z+1/2;x,-y,z+1/2;-y+1/2,-x+1/2,z+1/2
130	P 4/n c c	P 4/n c c:2	P4/ncc	-P 4a 2ac	x,y,z;-y+1/2,x,z;-x+1/2,-y+1/2,z;y,-x+1/2,z;x+1/2,-y,-z+1/2;-y,-x,-z+1/2;-x,y+1/2,-z+1/2;y+1/2,x+1/2,-z+1/2;-x,-y,-z;y+1/2,-x,-z;x+1/2,y+1/2,-z;-y,x+1/2,-z;-x+1/2,y,z+1/2;y,x,z+1/2;x,-y+1/2,z+1/2;-y+1/2,-x+1/2,z+1/2
131	P 42/m m c	P 42/m m c	P42/mmc	-P 4c 2	x,y,z;-y,x,z+1/2;-x,-y,z;y,-x,z+1/2;x,-y,-z;-y,-x,-z+1/2;-x,y,-z;y,x,-z+1/2;-x,-y,-z;y,-x,-z+1/2;x,y,-z;-y,x,-z+1/2;-x,y,z;y,x,z+1/2;x,-y,z;-y,-x,z+1/2
132	P 42/m c m	P 42/m c m	P42/mcm	-P 4c 2c	x,y,z;-y,x,z+1/2;-x,-y,z;y,-x,z+1/2;x,-y,-z+1/2;-y,-x,-z;-x,y,-z+1/2;y,x,-z;-x,-y,-z;y,-x,-z+1/2;x,y,-z;-y,x,-z+1/2;-x,y,z+1/2;y,x,z;x,-y,z+1/2;-y,-x,z
133	P 42/n b c	P 42/n b c:1	P42/nbc	P 4n 2c -1n	x,y,z;-y+1/2,x+1/2,z+1/2;-x,-y,z;y+1/2,-x+1/2,z+1/2;x,-y,-z+1/2;-y+1/2,-x+1/2,-z;-x,y,-z+1/2;y+1/2,x+1/2,-z;-x+1/2,-y+1/2,-z+1/2;y,-x,-z;x+1/2,y+1/2,-z+1/2;-y,x,-z;-x+1/2,y+1/2,z;y,x,z+1/2;x+1/2,-y+1/2,z;-y,-x,z+1/2
133	P 42/n b c	P 42/n b c:2	P42/nbc	-P 4ac 2b	x,y,z;-y+1/2,x,z+1/2;-x+1/2,-y+1/2,z;y,-x+1/2,z+1/2;x,-y+1/2,-z;-y+1/2,-x+1/2,-z+1/2;-x+1/2,y,-z;y,x,-z+1/2;-x,-y,-z;y+1/2,-x,-z+1/2;x+1/2,y+1/2,-z;-y,x+1/2,-z+1/2;-x,y+1/2,z;y+1/2,x+1/2,z+1/2;x+1/2,-y,z;-y,-x,z+1/2
134	P 42/n n m	P 42/n n m:1	P42/nnm	P 4n 2 -1n	x,y,z;-y+1/2,x+1/2,z+1/2;-x,-y,z;y+1/2,-x+1/2,z+1/2;x,-y,-z;-y+1/2,-x+1/2,-z+1/2;-x,y,-z;y+1/2,x+1/2,-z+1/2;-x+1/2,-y+1/2,-z+1/2;y,-x,-z;x+1/2,y+1/2,-z+1/2;-y,x,-z;-x+1/2,y+1/2,z+1/2;y,x,z;x+1/2,-y+1/2,z+1/2;-y,-x,z
134	P 42/n n m	P 42/n n m:2	P42/nnm	-P 4ac 2bc	x,y,z;-y+1/2,x,z+1/2;-x+1/2,-y+1/2,z;y,-x+1/2,z+1/2;x,-y+1/2,-z+1/2;-y+1/2,-x+1/2,-z;-x+1/2,y,-z+1/2;y,x,-z;-x,-y,-z;y+1/2,-x,-z+1/2;x+1/2,y+1/2,-z;-y,x+1/2,-z+1/2;-x,y+1/2,z+1/2;y+1/2,x+1/2,z;x+1/2,-y,z+1/2;-y,-x,z
135	P 42/m b c	P 42/m b c	P42/mbc	-P 4c 2ab	x,y,z;-y,x,z+1/2;-x,-y,z;y,-x,z+1/2;x+1/2,-y+1/2,-z;-y+1/2,-x+1/2,-z+1/2;-x+1/2,y+1/2,-z;y+1/2,x+1/2,-z+1/2;-x,-y,-z;y,-x,-z+1/2;x,y,-z;-y,x,-z+1/2;-x+1/2,y+1/2,z;y+1/2,x+1/2,z+1/2;x+1/2,-y+1/2,z;-y+1/2,-x+1/2,z+1/2
